model,area,method,rmse,mae,r2,bias,corr,n
CMCC-ESM2,nat,xgb,0.6298642303412281,0.5102044543619791,0.7350536950773107,-0.392682928696696,0.9154440484139749,120
CMCC-ESM2,sat,linear,0.47017749656381447,0.3843673718352954,0.812629872220524,0.12585320899347727,0.910022482048033,120
CMCC-ESM2,sat,qm,0.49915050942904665,0.4044736689254596,0.7888263571412817,0.16626579415037562,0.9024577843467692,120
CMCC-ESM2,sat,xgb,0.4448542470530146,0.34890470228983556,0.8322694555269798,-0.15108110118713372,0.9239792707505108,120
CMCC-ESM2,tasi,linear,0.7213527991547325,0.5709801933368717,0.8913263388364473,-0.44062997141379495,0.9669254197886714,120
CMCC-ESM2,tasi,qm,0.7273684327549272,0.5874908690989777,0.8895062396432463,-0.4701178599587481,0.9672995022453956,120
CMCC-ESM2,tasi,xgb,0.5961340845468036,0.4694557739804029,0.9257807155105725,-0.24797765532688928,0.9719783624304013,120
CMCC-ESM2,wtio,linear,0.5396172672785599,0.4349488327378569,0.4980607844853211,-0.13838515577450855,0.7342337565313987,120
CMCC-ESM2,wtio,qm,0.5766528317518144,0.45906046431861564,0.42679719214537226,-0.09588963387000149,0.7354054627282441,120
CMCC-ESM2,wtio,xgb,0.44089643254208055,0.3544710007883708,0.6649168259217116,-0.26638780522562666,0.8927974196744093,120
CMCC-ESM2,setio,linear,0.5034027149064426,0.3883039587427811,0.1922281121267413,-0.2216540100355191,0.6704487988835068,120
CMCC-ESM2,setio,qm,0.44789028637914186,0.3304041344734529,0.36055835753290566,-0.07964205307351578,0.6723749704265828,120
CMCC-ESM2,setio,xgb,0.4495629205448397,0.3788611497487386,0.3557734846426187,-0.2602446207529703,0.7601730676805273,120
CMCC-ESM2,swio,linear,0.6107709993031764,0.4884642242366322,0.4258179952574078,-0.15407783565427735,0.6953079451438552,120
CMCC-ESM2,swio,qm,0.6575559052663853,0.5255531617782265,0.3344845736279145,-0.08832404995500195,0.695298139339329,120
CMCC-ESM2,swio,xgb,0.4521993301657734,0.366582074524943,0.6852595282898708,-0.28409035639953617,0.9045737782660861,120
CMCC-ESM2,dmi,linear,0.5231998337663561,0.4191966999086405,0.1621153387990537,-0.020701492621784823,0.5445383171801669,120
